"Reference","Value","Datasheet","Footprint","Qty","DNP"
"A2","Arduino_Uno_X_Shield","https://docs.arduino.cc/hardware/uno-wifi-rev2","Alexander Footprint Library:Arduino Uno X","1",""
"BTN2","RST","~","Alexander Footprint Library:Button-Tacktile-TL1014BF160","1",""
"C1","100uF","~","Capacitor_SMD:CP_Elec_3x5.3","1",""
"C2","10uF","~","Alexander Footprint Library:CAP_CL31_SAM","1",""
"C3,C4","1uF","-- mixed values --","-- mixed values --","2",""
"D1","MMSZ52XXB","","Alexander Footprint Library:ZDO_SMB_DO-214AA_CIP","1",""
"D2,D3","LED","~","LED SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","2",""
"J1","USB-C_Receptacle_Data_16P_GCT-USB4085","","Alexander Footprint Library:USB-C_GCT CONN16_USB4085-GF-A","1",""
"J2","Barrel_Jack_Switch","~","Connector_BarrelJacks:BarrelJack_CUI_PJ-102AH_Horizontal","1",""
"Q1","DMP6180SK3","","Package_TO_SOT_SMD:TO-252-2","1",""
"R1,R2","5K1","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","2",""
"R3,R4,R5,R6,R7","10k","~","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","5",""
"SW1","SW_SPDT","~","PinSocker 2.54mm:PinSocket_1x03_P2.54mm_Vertical","1",""
"SW2","SW","~","Alexander Footprint Library:SW_PUSH_6x3.5mm","1",""
"SW4","EN","~","Alexander Footprint Library:Button-Tacktile-TL1014BF160","1",""
"TXT1","~","","Alexander Footprint Library:heritage-logo","1",""
"U1","ESP32-S3-WROOM-1","https://www.espressif.com/sites/default/files/documentation/esp32-s3-wroom-1_wroom-1u_datasheet_en.pdf","Alexander Footprint Library:ESP32-S3-WROOM-2-N32R8V","1",""
"U2","LM1117MP-3.3","http://www.ti.com/lit/ds/symlink/lm1117.pdf","Package_TO_SOT_SMD:SOT-223","1",""
"U3","AMS1117-5V","","Package_TO_SOT_SMD:SOT-223","1",""
